method,cyclomatic_complexity,executions,total_method_execution_time,percentage_of_total_time,average_execution_time
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:129 (#<Class:Rails::Railtie>#inherited),1,24,110,0.013676029773960095,4.583333333333333
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/logger/log_level.rb:23 (Sass::Logger::LogLevel::ClassMethods#log_level),6,5,106,0.013178719600361545,21.2
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:211 (Set#include?),0,43,104,0.01293006451356227,2.4186046511627906
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:159 (#<Class:Rails::Railtie>#abstract_railtie?),0,46,102,0.012681409426762996,2.217391304347826
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/engine.rb:348 (#<Class:Rails::Engine>#inherited),5,6,100,0.012432754339963723,16.666666666666668
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/synchronization/object.rb:32 (Concurrent::Synchronization::Object#initialize),1,17,99,0.012308426796564083,5.823529411764706
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command_set.rb:364 (Pry::CommandSet#add_command),0,48,97,0.01205977170976481,2.0208333333333335
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/remove_method.rb:2 (Module#remove_possible_method),2,26,97,0.01205977170976481,3.730769230769231
/Users/brian/.rvm/gems/ruby-2.2.3/gems/coderay-1.1.0/lib/coderay/helpers/plugin.rb:204 (CodeRay::PluginHost#validate_id),5,19,94,0.011686789079565897,4.947368421052632
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/uri/rfc2396_parser.rb:500 (URI::RFC2396_Parser#initialize_regexp),13,1,94,0.011686789079565897,94
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/mixins/engine_dsl.rb:8 (Temple::Mixins::EngineDSL#append),1,19,92,0.011438133992766624,4.842105263157895
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thor-0.19.1/lib/thor/parser/option.rb:7 (Thor::Option#initialize),3,5,89,0.01106515136256771,17.8
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:7 (Temple::ImmutableMap#initialize),0,42,89,0.01106515136256771,2.119047619047619
/Users/brian/.rvm/gems/ruby-2.2.3/gems/nokogiri-1.6.7/lib/nokogiri/version.rb:46 (Nokogiri::VersionInfo#to_hash),8,1,89,0.01106515136256771,89
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:42 (Temple::MutableMap#initialize),0,42,88,0.010940823819168074,2.0952380952380953
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/concern/dereferenceable.rb:54 (Concurrent::Concern::Dereferenceable#ns_set_deref_options),7,5,87,0.010816496275768438,17.4
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/forwardable.rb:152 (Forwardable#def_instance_delegators),2,8,87,0.010816496275768438,10.875
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/class/attribute.rb:71 (Class#class_attribute),19,9,87,0.010816496275768438,9.666666666666666
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/ordered_options.rb:21 (ActiveSupport::OrderedOptions#[]=),0,36,86,0.0106921687323688,2.388888888888889
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/string/inflections.rb:118 (String#underscore),0,35,85,0.010567841188969163,2.4285714285714284
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/module/attr_internal.rb:28 (Module#attr_internal_define),5,8,85,0.010567841188969163,10.625
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thread_safe-0.3.5/lib/thread_safe/cache.rb:26 (ThreadSafe::Cache#initialize),2,7,81,0.010070531015370613,11.571428571428571
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:68 (Temple::OptionMap#update),1,16,76,0.009448893298372427,4.75
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/logger.rb:311 (Logger#initialize),2,3,73,0.009075910668173516,24.333333333333332
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie/configuration.rb:45 (Rails::Railtie::Configuration#app_generators),2,5,72,0.008951583124773878,14.4
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thor-0.19.1/lib/thor/base.rb:251 (Thor::Base::ClassMethods#class_options),2,7,70,0.008702928037974605,10
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/utility/engine.rb:30 (Concurrent::Utility::EngineDetector#ruby_engine),1,26,68,0.008454272951175332,2.6153846153846154
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thor-0.19.1/lib/thor/base.rb:392 (Thor::Base::ClassMethods#no_commands),1,4,68,0.008454272951175332,17
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/mixins/engine_dsl.rb:74 (Temple::Mixins::EngineDSL#chain_class_constructor),6,17,66,0.008205617864376057,3.8823529411764706
/Users/brian/.rvm/gems/ruby-2.2.3/gems/thor-0.19.1/lib/thor/base.rb:603 (Thor::Base::ClassMethods#from_superclass),4,6,63,0.007832635234177146,10.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/config/behavior.rb:46 (Pry::Config::Behavior#method_missing),7,5,57,0.007086669973779321,11.4
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/transformers.rb:123 (Sprockets::Transformers#compute_transformers!),4,4,57,0.007086669973779321,14.25
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/version.rb:47 (Sass::Version#version),12,1,55,0.0068380148869800475,55
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:125 (#<Class:Rails::Railtie>#subclasses),0,22,54,0.00671368734358041,2.4545454545454546
/Users/brian/.rvm/gems/ruby-2.2.3/gems/coderay-1.1.0/lib/coderay/helpers/plugin.rb:159 (CodeRay::PluginHost#load_plugin_map),3,1,53,0.006589359800180773,53
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/utility/at_exit.rb:82 (Concurrent::AtExitImplementation#ns_initialize),1,1,52,0.006465032256781135,52
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/subscriber.rb:64 (#<Class:ActiveSupport::Subscriber>#add_event_subscriber),5,4,52,0.006465032256781135,13
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:135 (#<Class:Rails::Railtie>#rake_tasks),2,5,50,0.006216377169981861,10
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/command.rb:162 (#<Class:Pry::Command>#match_score),2,12,50,0.006216377169981861,4.166666666666667
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/delay.rb:61 (Concurrent::Delay#initialize),2,5,49,0.006092049626582223,9.8
/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionview-4.2.5/lib/action_view/template/handlers.rb:27 (ActionView::Template::Handlers#register_template_handler),2,6,49,0.006092049626582223,8.166666666666666
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/string_inquirer.rb:18 (ActiveSupport::StringInquirer#method_missing),1,2,49,0.006092049626582223,24.5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/subscriber.rb:47 (#<Class:ActiveSupport::Subscriber>#method_added),2,24,48,0.005967722083182586,2
/Users/brian/.rvm/gems/ruby-2.2.3/gems/slop-3.6.0/lib/slop.rb:128 (Slop#initialize),5,1,47,0.005843394539782948,47
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/atomic/event.rb:84 (Concurrent::Event#ns_initialize),1,6,47,0.005843394539782948,7.833333333333333
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sass-3.4.20/lib/sass/version.rb:87 (Sass::Version#revision_number),12,1,47,0.005843394539782948,47
/Users/brian/.rvm/gems/ruby-2.2.3/gems/actionpack-4.2.5/lib/action_dispatch/http/mime_type.rb:241 (Mime::Type#to_sym),0,22,46,0.005719066996383312,2.090909090909091
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/utility/engine.rb:6 (Concurrent::Utility::EngineDetector#on_jruby?),0,18,43,0.0053460843661844,2.388888888888889
/Users/brian/.rvm/gems/ruby-2.2.3/gems/pry-0.10.3/lib/pry/config/behavior.rb:38 (Pry::Config::Behavior#[]=),3,6,42,0.005221756822784762,7
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/logger.rb:578 (Logger::LogDevice#initialize),7,3,41,0.005097429279385126,13.666666666666666
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:204 (Rails::Railtie#initialize),2,16,41,0.005097429279385126,2.5625
/Users/brian/.rvm/gems/ruby-2.2.3/gems/coderay-1.1.0/lib/coderay/helpers/plugin.rb:133 (CodeRay::PluginHost#plugin_hash),1,18,40,0.0049731017359854884,2.2222222222222223
/Users/brian/.rvm/rubies/ruby-2.2.3/lib/ruby/2.2.0/set.rb:115 (Set#freeze),1,8,40,0.0049731017359854884,5
/Users/brian/.rvm/gems/ruby-2.2.3/gems/sprockets-3.5.2/lib/sprockets/processing.rb:130 (Sprockets::Processing#register_bundle_metadata_reducer),9,4,39,0.004848774192585851,9.75
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie.rb:141 (#<Class:Rails::Railtie>#console),2,3,39,0.004848774192585851,13
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/deprecation/instance_delegator.rb:13 (ActiveSupport::Deprecation::InstanceDelegator::ClassMethods#include),1,3,39,0.004848774192585851,13
/Users/brian/.rvm/gems/ruby-2.2.3/gems/railties-4.2.5/lib/rails/railtie/configuration.rb:6 (Rails::Railtie::Configuration#initialize),0,16,38,0.004724446649186214,2.375
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/core_ext/kernel/reporting.rb:26 (Kernel#with_warnings),1,1,37,0.004600119105786576,37
/Users/brian/.rvm/gems/ruby-2.2.3/gems/temple-0.7.6/lib/temple/map.rb:50 (Temple::MutableMap#update),0,16,37,0.004600119105786576,2.3125
/Users/brian/.rvm/gems/ruby-2.2.3/gems/activesupport-4.2.5/lib/active_support/deprecation/instance_delegator.rb:18 (ActiveSupport::Deprecation::InstanceDelegator::ClassMethods#method_added),0,15,35,0.004351464018987302,2.3333333333333335
/Users/brian/.rvm/gems/ruby-2.2.3/gems/concurrent-ruby-1.0.0/lib/concurrent/atomic/event.rb:20 (Concurrent::Event#initialize),1,6,35,0.004351464018987302,5.833333333333333
